                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.6951,                 1.4569,                  1.867,                0.65161,                0.39784,                0.49135,                0.22629,                 1.9316,                 2.1112,                 2.4759,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.6346,                 1.4497,                 1.8572,                0.52561,                0.33149,                0.37612,                0.17419,                 1.9279,                 2.3937,                 2.5009,               0.001406,               0.001406,               0.001406
                     48,                  1.702,                  1.483,                 1.8788,                0.49924,                0.39779,                0.42018,                0.18556,                 1.9433,                 2.2658,                 2.5463,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.6477,                 1.3969,                 1.8404,                0.47494,                0.39779,                0.39315,                0.17746,                 1.9094,                 2.1829,                  2.473,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.6473,                  1.452,                 1.8618,                0.52915,                0.40358,                0.43931,                0.19833,                 1.9336,                   2.14,                 2.4631,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.6462,                  1.425,                 1.8593,                0.48941,                0.43955,                0.44688,                0.20402,                 1.8743,                 2.0747,                 2.4258,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.6223,                 1.3714,                 1.8477,                0.51937,                 0.3895,                0.41537,                0.18267,                 1.9585,                 2.1754,                 2.5223,                0.00134,                0.00134,                0.00134
                     53,                 1.5649,                 1.3503,                 1.8138,                0.57753,                0.43806,                0.47156,                0.20855,                 1.9863,                 2.0528,                 2.5842,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.6271,                 1.3528,                 1.8229,                0.56214,                0.40785,                0.45365,                0.21051,                 1.8147,                 2.0512,                 2.4144,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.5673,                 1.2906,                 1.7712,                0.54552,                0.47514,                0.50645,                0.23779,                 1.8692,                 1.9464,                 2.3999,              0.0013004,              0.0013004,              0.0013004
