                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4712,                 1.4168,                 1.9305,                 0.7553,                 0.5514,                0.64284,                0.25163,                 2.1315,                 1.6589,                 2.6551,              0.0014984,              0.0014984,              0.0014984
                     79,                  1.467,                 1.4259,                 1.9201,                 0.7558,                0.56542,                0.63975,                0.25239,                  2.111,                 1.6265,                 2.6615,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.4612,                 1.4178,                 1.9271,                0.73101,                0.58417,                0.65622,                0.27665,                 2.0741,                 1.6971,                 2.5954,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.4445,                 1.3423,                 1.8975,                0.69552,                 0.5514,                0.62726,                 0.2773,                 2.0869,                 1.6811,                 2.6403,              0.0014786,              0.0014786,              0.0014786
                     82,                  1.421,                 1.3175,                 1.8683,                0.72687,                0.62617,                0.68922,                0.26656,                 2.0848,                 1.5719,                 2.6362,               0.001472,               0.001472,               0.001472
                     83,                 1.4282,                 1.3559,                 1.8724,                0.61625,                0.56281,                0.59988,                0.23172,                 2.1631,                 1.6752,                  2.779,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.4248,                 1.3293,                 1.8651,                0.67284,                 0.5514,                0.62001,                0.25511,                 2.1679,                 1.6306,                 2.7398,              0.0014588,              0.0014588,              0.0014588
                     85,                  1.432,                 1.3213,                 1.8738,                0.71026,                 0.6215,                0.68593,                  0.272,                 2.1223,                 1.6045,                 2.6369,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.4014,                 1.2983,                 1.8481,                 0.6964,                0.57477,                0.64807,                0.26675,                 2.1325,                 1.5732,                 2.7242,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.4051,                 1.3009,                 1.8444,                0.70827,                0.56727,                0.63162,                0.24549,                 2.2314,                  1.639,                 2.8203,               0.001439,               0.001439,               0.001439
                     88,                 1.3861,                 1.2706,                 1.8299,                0.71995,                0.56075,                0.62948,                0.25245,                 2.1151,                   1.69,                 2.6719,              0.0014324,              0.0014324,              0.0014324
                     89,                  1.377,                 1.2459,                 1.8107,                0.72963,                0.60531,                0.66565,                0.27006,                 2.1179,                 1.6407,                 2.6517,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.3691,                 1.2562,                 1.8018,                0.73023,                0.60714,                 0.6889,                0.27198,                 2.1121,                 1.5058,                 2.6723,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.3927,                 1.2585,                 1.8334,                0.75191,                0.56542,                0.64978,                0.26614,                 2.1338,                  1.637,                 2.7075,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.3561,                 1.2427,                 1.8109,                0.66827,                0.61215,                0.65921,                0.26571,                 2.1201,                 1.6149,                 2.6685,               0.001406,               0.001406,               0.001406
                     93,                 1.3594,                   1.24,                 1.7965,                0.69509,                0.59813,                0.66535,                0.27557,                 2.1236,                 1.5416,                 2.6414,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.3479,                 1.2172,                 1.7792,                0.78165,                0.57944,                0.66702,                0.26472,                  2.168,                 1.6441,                 2.7734,              0.0013928,              0.0013928,              0.0013928
                     95,                  1.345,                 1.2022,                 1.7711,                0.74211,                0.61856,                0.67088,                0.28347,                 2.1424,                 1.5482,                 2.7118,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.3428,                 1.2233,                 1.7804,                0.75226,                0.54206,                  0.645,                0.27204,                  2.086,                 1.5435,                 2.5711,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.3184,                 1.1648,                 1.7584,                0.67199,                0.63551,                0.68357,                0.26697,                 2.1235,                 1.5074,                 2.7232,               0.001373,               0.001373,               0.001373
                     98,                 1.3224,                 1.1516,                 1.7574,                0.65079,                 0.6096,                0.63141,                0.26009,                 2.1837,                 1.6256,                 2.7669,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.3101,                 1.1525,                 1.7532,                0.69539,                0.59813,                0.65587,                0.26575,                 2.1894,                 1.5753,                 2.7322,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.2927,                  1.147,                 1.7338,                0.87155,                0.53903,                0.69132,                0.28008,                 2.1539,                 1.5387,                 2.6967,              0.0013532,              0.0013532,              0.0013532
                    101,                  1.288,                 1.1293,                 1.7287,                0.74777,                0.52645,                0.63302,                0.25579,                 2.2107,                 1.6097,                 2.7974,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.2992,                 1.1166,                 1.7188,                0.65442,                0.64019,                0.67941,                0.27584,                 2.1806,                 1.4391,                  2.782,                0.00134,                0.00134,                0.00134
                    103,                 1.3075,                 1.1457,                 1.7376,                0.79776,                0.59346,                0.68845,                0.28856,                 2.1516,                 1.4717,                 2.7366,              0.0013334,              0.0013334,              0.0013334
                    104,                  1.264,                 1.1016,                  1.707,                0.74144,                0.58411,                0.65565,                0.27075,                 2.2523,                 1.4646,                 2.8995,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.2808,                 1.1056,                 1.7001,                0.84977,                0.55607,                0.67542,                0.29021,                  2.146,                 1.5265,                 2.7406,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.2672,                 1.1102,                 1.7071,                0.70123,                0.63551,                0.67452,                0.29008,                 2.1734,                 1.4985,                 2.7667,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.2495,                 1.0853,                 1.6899,                0.79515,                0.60748,                0.68764,                0.27206,                 2.2076,                 1.5456,                 2.8413,               0.001307,               0.001307,               0.001307
                    108,                 1.2363,                 1.0711,                 1.6682,                0.71937,                0.63084,                0.68687,                0.27806,                 2.2046,                 1.5389,                 2.7916,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.2444,                 1.0805,                 1.6826,                0.78889,                0.56075,                0.67837,                0.27373,                 2.1835,                 1.5449,                 2.8248,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.2376,                 1.0605,                 1.6838,                0.68232,                0.58879,                0.65442,                0.28344,                 2.1665,                 1.5042,                 2.8408,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.2316,                 1.0437,                  1.665,                0.76932,                0.56075,                0.69297,                0.30019,                 2.1397,                 1.5021,                 2.7113,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.2141,                 1.0355,                 1.6364,                0.75371,                0.58411,                0.65068,                0.27447,                  2.168,                 1.6037,                 2.8306,               0.001274,               0.001274,               0.001274
                    113,                 1.2198,                 1.0353,                 1.6412,                0.73837,                0.61215,                0.69982,                0.28518,                 2.1786,                 1.4773,                   2.79,              0.0012674,              0.0012674,              0.0012674
                    114,                  1.187,                  1.033,                 1.6265,                0.76146,                0.61215,                0.69681,                0.29928,                 2.1519,                 1.5146,                 2.7588,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.1796,                 1.0034,                 1.6147,                0.75974,                0.60748,                0.68039,                0.29255,                  2.202,                 1.4405,                 2.8832,              0.0012542,              0.0012542,              0.0012542
                    116,                  1.201,                 1.0175,                 1.6351,                0.73501,                0.57009,                0.65996,                0.28197,                 2.1903,                 1.5841,                 2.8195,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.1881,                 1.0033,                 1.6236,                0.72596,                0.64019,                0.69075,                0.30046,                 2.1482,                 1.4139,                 2.7228,               0.001241,               0.001241,               0.001241
                    118,                 1.1918,                0.99481,                 1.6215,                0.69368,                0.67757,                0.70102,                0.27678,                 2.2257,                 1.4708,                 2.8965,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.1661,                 0.9823,                 1.6085,                  0.675,                0.62617,                0.66422,                0.27138,                 2.1877,                 1.5604,                 2.8954,              0.0012278,              0.0012278,              0.0012278
                    120,                  1.173,                0.99546,                 1.6023,                0.73651,                 0.6215,                0.69312,                 0.2984,                 2.1995,                 1.4863,                 2.7938,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.1559,                0.97071,                 1.5875,                0.68606,                0.63551,                0.67648,                0.28088,                 2.2049,                 1.5347,                 2.8807,              0.0012146,              0.0012146,              0.0012146
                    122,                  1.148,                0.96314,                 1.5745,                0.77803,                0.57326,                0.68314,                 0.2935,                 2.1997,                 1.4865,                 2.8483,               0.001208,               0.001208,               0.001208
                    123,                 1.1459,                0.96283,                 1.5753,                0.77794,                 0.6028,                0.70186,                0.28911,                 2.1767,                  1.424,                 2.8388,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.1409,                0.94714,                 1.5727,                0.77775,                0.57235,                0.68059,                0.29223,                 2.1503,                 1.4752,                 2.7613,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.1331,                0.93386,                 1.5622,                0.70218,                0.59346,                0.63851,                0.27092,                 2.2644,                 1.4917,                 2.9274,              0.0011882,              0.0011882,              0.0011882
                    126,                 1.1352,                0.94618,                 1.5577,                0.73187,                0.61222,                0.67829,                0.28668,                 2.2027,                 1.4253,                 2.8443,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.1637,                0.97128,                 1.5791,                0.73667,                0.58879,                0.66772,                0.29209,                 2.1906,                  1.458,                 2.8239,               0.001175,               0.001175,               0.001175
                    128,                 1.1151,                0.91652,                 1.5394,                0.75577,                 0.6028,                0.68478,                0.29035,                 2.2158,                 1.4482,                 2.8886,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.1176,                0.91952,                  1.548,                0.75813,                0.60053,                0.66299,                 0.2769,                 2.2795,                 1.4555,                 2.9911,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.1065,                0.91609,                 1.5381,                 0.8072,                0.58879,                0.71101,                0.28061,                 2.2525,                 1.4889,                 2.9346,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.0862,                0.89638,                 1.5196,                0.75006,                0.61701,                0.69091,                 0.2769,                 2.2312,                 1.4511,                 2.9274,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.0937,                 0.9061,                 1.5318,                0.75283,                0.61682,                0.68245,                0.27839,                 2.2066,                 1.5054,                 2.8975,               0.001142,               0.001142,               0.001142
                    133,                 1.0883,                0.89141,                 1.5229,                0.78867,                0.58411,                 0.6573,                0.27598,                 2.2405,                 1.5493,                 2.8984,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.0709,                0.89102,                 1.5052,                0.67898,                0.58879,                0.65027,                0.26802,                 2.2178,                 1.5851,                 2.8589,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.1038,                0.90814,                 1.5297,                0.80889,                0.56075,                0.67753,                0.27367,                 2.2632,                 1.5067,                 3.0148,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.0718,                0.87583,                 1.5014,                0.74309,                0.63551,                0.66659,                0.27737,                 2.2366,                 1.5404,                 2.9176,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.0829,                0.88392,                 1.5015,                0.79475,                0.64486,                0.72061,                0.28229,                 2.1961,                 1.4913,                 2.8614,               0.001109,               0.001109,               0.001109
                    138,                 1.0624,                0.87139,                 1.4882,                0.82423,                0.57944,                0.67755,                0.28487,                 2.2254,                  1.444,                 2.9796,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.0548,                0.87666,                 1.4829,                0.75941,                0.63551,                0.68822,                0.29416,                 2.1614,                 1.4917,                 2.8671,              0.0010958,              0.0010958,              0.0010958
                    140,                 1.0501,                0.86812,                 1.4796,                0.78293,                0.61682,                0.69959,                0.28904,                 2.1969,                 1.5014,                 2.8946,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.0537,                0.83918,                 1.4803,                  0.739,                0.65888,                0.70414,                0.29099,                 2.1984,                 1.4192,                 2.8725,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.0427,                0.83872,                 1.4805,                0.73702,                0.60241,                0.66321,                0.27606,                  2.186,                 1.6002,                 2.8585,               0.001076,               0.001076,               0.001076
                    143,                 1.0513,                0.84013,                 1.4904,                0.71977,                0.62414,                0.68822,                0.27623,                  2.219,                 1.5703,                 2.9269,              0.0010694,              0.0010694,              0.0010694
