                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.6777,                 1.5163,                  1.931,                0.44757,                0.36188,                 0.3313,                0.14563,                 1.9093,                 2.4149,                 2.5571,              0.0017844,              0.0017844,              0.0017844
                     52,                 1.6404,                 1.4353,                 1.8845,                0.48611,                0.37293,                0.38656,                0.18336,                 1.9083,                   2.38,                 2.5442,                0.00178,                0.00178,                0.00178
                     53,                 1.6175,                 1.4447,                 1.8635,                0.51773,                0.37017,                0.41139,                0.19013,                 1.9463,                 2.2607,                  2.608,              0.0017756,              0.0017756,              0.0017756
                     54,                 1.6724,                  1.461,                 1.9047,                0.51075,                0.40374,                0.42231,                0.18728,                 1.9633,                 2.1631,                 2.6604,              0.0017712,              0.0017712,              0.0017712
                     55,                 1.6228,                 1.3929,                 1.8457,                0.54392,                0.43923,                0.46013,                0.21309,                 1.8642,                 2.0707,                 2.4963,              0.0017668,              0.0017668,              0.0017668
                     56,                 1.5951,                  1.361,                 1.8244,                 0.5899,                 0.3895,                0.44213,                0.18976,                 1.9997,                 2.2486,                   2.65,              0.0017624,              0.0017624,              0.0017624
                     57,                 1.5792,                 1.3654,                 1.8276,                 0.4717,                0.36464,                0.39038,                0.18997,                 1.8367,                 2.3071,                 2.4949,               0.001758,               0.001758,               0.001758
                     58,                 1.5798,                 1.3548,                 1.8246,                0.52336,                0.41555,                0.44824,                0.20597,                 1.8947,                 2.1879,                 2.5608,              0.0017536,              0.0017536,              0.0017536
                     59,                  1.575,                 1.3092,                   1.83,                0.49178,                0.47313,                0.48314,                0.22038,                 1.8666,                 2.0995,                 2.5044,              0.0017492,              0.0017492,              0.0017492
                     60,                 1.5794,                 1.3141,                 1.7882,                0.63096,                 0.4337,                0.52244,                0.24831,                  1.855,                 2.0019,                  2.481,              0.0017448,              0.0017448,              0.0017448
                     61,                  1.553,                 1.2915,                 1.8037,                0.52712,                0.41878,                0.46157,                0.20543,                  1.898,                 2.1259,                  2.554,              0.0017404,              0.0017404,              0.0017404
                     62,                 1.5649,                 1.3218,                 1.8051,                0.50673,                0.50829,                0.50247,                0.22726,                  1.792,                 1.9478,                 2.4667,               0.001736,               0.001736,               0.001736
                     63,                 1.5519,                 1.3018,                 1.7781,                0.60031,                0.43646,                0.49281,                0.23495,                 1.8513,                 2.0469,                  2.533,              0.0017316,              0.0017316,              0.0017316
                     64,                 1.5654,                  1.268,                 1.8218,                0.57643,                0.45028,                0.51917,                0.23864,                 1.8418,                 1.9488,                 2.5224,              0.0017272,              0.0017272,              0.0017272
                     65,                 1.5324,                  1.253,                  1.769,                0.52317,                 0.4337,                0.44794,                0.21365,                 1.7951,                 2.1195,                 2.4615,              0.0017228,              0.0017228,              0.0017228
                     66,                  1.526,                 1.2441,                  1.746,                0.52923,                0.40055,                0.43481,                0.21335,                 1.9057,                 2.2249,                 2.5602,              0.0017184,              0.0017184,              0.0017184
                     67,                 1.5622,                 1.2609,                 1.8013,                0.58012,                0.46961,                0.51174,                0.23944,                 1.8793,                 2.0982,                 2.5538,               0.001714,               0.001714,               0.001714
                     68,                  1.492,                 1.2386,                 1.7693,                0.58348,                0.41407,                0.45503,                0.21985,                 1.8267,                  2.173,                 2.5089,              0.0017096,              0.0017096,              0.0017096
                     69,                 1.5101,                 1.2154,                 1.7643,                0.59545,                 0.4116,                0.48937,                0.22585,                 1.9389,                 2.1544,                 2.6089,              0.0017052,              0.0017052,              0.0017052
                     70,                 1.5084,                 1.2327,                 1.7775,                 0.6434,                0.50276,                0.56939,                0.27685,                 1.8053,                  1.948,                  2.475,              0.0017008,              0.0017008,              0.0017008
                     71,                 1.5058,                 1.2129,                  1.768,                0.55027,                0.46961,                0.51724,                0.25292,                 1.7731,                 1.8615,                 2.4257,              0.0016964,              0.0016964,              0.0016964
                     72,                 1.5044,                 1.1793,                 1.7438,                0.69243,                0.46685,                0.54429,                0.25767,                 1.8166,                  1.873,                 2.4929,               0.001692,               0.001692,               0.001692
                     73,                 1.5375,                 1.2046,                 1.7815,                0.59414,                0.46409,                0.50455,                0.24027,                 1.8823,                 1.9222,                 2.5685,              0.0016876,              0.0016876,              0.0016876
                     74,                 1.4508,                 1.1519,                 1.7005,                0.64355,                0.46961,                0.52703,                0.23822,                 1.8308,                 1.9664,                 2.4651,              0.0016832,              0.0016832,              0.0016832
                     75,                 1.4593,                 1.1308,                 1.6955,                0.60002,                0.46685,                0.52079,                0.25805,                 1.7883,                   1.96,                 2.4304,              0.0016788,              0.0016788,              0.0016788
                     76,                 1.4524,                 1.0982,                 1.7043,                0.50743,                0.46956,                0.47972,                0.22517,                 1.8915,                 2.1379,                 2.5635,              0.0016744,              0.0016744,              0.0016744
                     77,                 1.4636,                 1.1748,                 1.7298,                0.58841,                0.47514,                0.52783,                0.24572,                 1.8361,                 1.9682,                 2.5355,                0.00167,                0.00167,                0.00167
                     78,                 1.4534,                 1.1509,                 1.7084,                0.68062,                 0.4474,                0.52429,                0.26524,                 1.7371,                 1.9748,                 2.3677,              0.0016656,              0.0016656,              0.0016656
